name,name_bn,category,subtype,description,description_bn,area,district,division,address,phone,website,rating,badge_key,price_info,features,is_verified
City General Hospital Dhaka #17,সিটি জেনারেল হাসপাতাল Dhaka #17,hospital,govt-hospital,Government hospital with general and emergency care.,সাধারণ ও জরুরি সেবাসহ সরকারি হাসপাতাল।,Agrabad,Dhaka,Dhaka,"Agrabad Road, Dhaka",01711002192,,3.6,,Free / Subsidized,"Emergency, OPD, Pathology",0
National Heart Foundation Chittagong #18,জাতীয় হৃদরোগ ফাউন্ডেশন Chittagong #18,hospital,private-hospital,Private specialized hospital with modern facilities.,আধুনিক সুবিধাসহ বেসরকারি বিশেষায়িত হাসপাতাল।,Zindabazar,Chittagong,Chittagong,"Zindabazar Road, Chittagong",01711002329,https://hospital18.com.bd,3.7,,BDT 500 consultation,"ICU, OPD, Emergency, Diagnostics",0
Popular Medical Center Rajshahi #19,পপুলার মেডিকেল সেন্টার Rajshahi #19,hospital,govt-hospital,Government hospital with general and emergency care.,সাধারণ ও জরুরি সেবাসহ সরকারি হাসপাতাল।,Sadar,Rajshahi,Rajshahi,"Sadar Road, Rajshahi",01711002466,,3.8,,Free / Subsidized,"Emergency, OPD, Pathology",1
Square Hospital Khulna #20,স্কয়ার হাসপাতাল Khulna #20,hospital,private-hospital,Private specialized hospital with modern facilities.,আধুনিক সুবিধাসহ বেসরকারি বিশেষায়িত হাসপাতাল।,Kotwali,Khulna,Khulna,"Kotwali Road, Khulna",01711002603,https://hospital20.com.bd,3.9,,BDT 500 consultation,"ICU, OPD, Emergency, Diagnostics",0
Ibn Sina Hospital Sylhet #21,ইবনে সিনা হাসপাতাল Sylhet #21,hospital,govt-hospital,Government hospital with general and emergency care.,সাধারণ ও জরুরি সেবাসহ সরকারি হাসপাতাল।,Mirpur,Sylhet,Sylhet,"Mirpur Road, Sylhet",01711002740,,4.0,,Free / Subsidized,"Emergency, OPD, Pathology",0
Labaid Specialized Hospital Barisal #22,ল্যাবএইড স্পেশালাইজড হাসপাতাল Barisal #22,hospital,private-hospital,Private specialized hospital with modern facilities.,আধুনিক সুবিধাসহ বেসরকারি বিশেষায়িত হাসপাতাল।,Dhanmondi,Barisal,Barisal,"Dhanmondi Road, Barisal",01711002877,https://hospital22.com.bd,4.1,,BDT 500 consultation,"ICU, OPD, Emergency, Diagnostics",1
United Hospital Rangpur #23,ইউনাইটেড হাসপাতাল Rangpur #23,hospital,govt-hospital,Government hospital with general and emergency care.,সাধারণ ও জরুরি সেবাসহ সরকারি হাসপাতাল।,Uttara,Rangpur,Rangpur,"Uttara Road, Rangpur",01711003014,,4.2,,Free / Subsidized,"Emergency, OPD, Pathology",0
Apollo Hospital Mymensingh #24,অ্যাপোলো হাসপাতাল Mymensingh #24,hospital,private-hospital,Private specialized hospital with modern facilities.,আধুনিক সুবিধাসহ বেসরকারি বিশেষায়িত হাসপাতাল।,Gulshan,Mymensingh,Mymensingh,"Gulshan Road, Mymensingh",01711003151,https://hospital24.com.bd,4.3,,BDT 500 consultation,"ICU, OPD, Emergency, Diagnostics",0
City General Hospital Dhaka #25,সিটি জেনারেল হাসপাতাল Dhaka #25,hospital,govt-hospital,Government hospital with general and emergency care.,সাধারণ ও জরুরি সেবাসহ সরকারি হাসপাতাল।,Mohammadpur,Dhaka,Dhaka,"Mohammadpur Road, Dhaka",01711003288,,4.4,,Free / Subsidized,"Emergency, OPD, Pathology",1
National Heart Foundation Chittagong #26,জাতীয় হৃদরোগ ফাউন্ডেশন Chittagong #26,hospital,private-hospital,Private specialized hospital with modern facilities.,আধুনিক সুবিধাসহ বেসরকারি বিশেষায়িত হাসপাতাল।,Banani,Chittagong,Chittagong,"Banani Road, Chittagong",01711003425,https://hospital26.com.bd,4.5,,BDT 500 consultation,"ICU, OPD, Emergency, Diagnostics",0
Popular Medical Center Rajshahi #27,পপুলার মেডিকেল সেন্টার Rajshahi #27,hospital,govt-hospital,Government hospital with general and emergency care.,সাধারণ ও জরুরি সেবাসহ সরকারি হাসপাতাল।,Agrabad,Rajshahi,Rajshahi,"Agrabad Road, Rajshahi",01711003562,,4.6,,Free / Subsidized,"Emergency, OPD, Pathology",0
Square Hospital Khulna #28,স্কয়ার হাসপাতাল Khulna #28,hospital,private-hospital,Private specialized hospital with modern facilities.,আধুনিক সুবিধাসহ বেসরকারি বিশেষায়িত হাসপাতাল।,Zindabazar,Khulna,Khulna,"Zindabazar Road, Khulna",01711003699,https://hospital28.com.bd,4.7,,BDT 500 consultation,"ICU, OPD, Emergency, Diagnostics",1
Ibn Sina Hospital Sylhet #29,ইবনে সিনা হাসপাতাল Sylhet #29,hospital,govt-hospital,Government hospital with general and emergency care.,সাধারণ ও জরুরি সেবাসহ সরকারি হাসপাতাল।,Sadar,Sylhet,Sylhet,"Sadar Road, Sylhet",01711003836,,4.8,,Free / Subsidized,"Emergency, OPD, Pathology",0
Labaid Specialized Hospital Barisal #30,ল্যাবএইড স্পেশালাইজড হাসপাতাল Barisal #30,hospital,private-hospital,Private specialized hospital with modern facilities.,আধুনিক সুবিধাসহ বেসরকারি বিশেষায়িত হাসপাতাল।,Kotwali,Barisal,Barisal,"Kotwali Road, Barisal",01711003973,https://hospital30.com.bd,4.9,,BDT 500 consultation,"ICU, OPD, Emergency, Diagnostics",0
United Hospital Rangpur #31,ইউনাইটেড হাসপাতাল Rangpur #31,hospital,govt-hospital,Government hospital with general and emergency care.,সাধারণ ও জরুরি সেবাসহ সরকারি হাসপাতাল।,Mirpur,Rangpur,Rangpur,"Mirpur Road, Rangpur",01711004110,,3.5,,Free / Subsidized,"Emergency, OPD, Pathology",1
Apollo Hospital Mymensingh #32,অ্যাপোলো হাসপাতাল Mymensingh #32,hospital,private-hospital,Private specialized hospital with modern facilities.,আধুনিক সুবিধাসহ বেসরকারি বিশেষায়িত হাসপাতাল।,Dhanmondi,Mymensingh,Mymensingh,"Dhanmondi Road, Mymensingh",01711004247,https://hospital32.com.bd,3.6,,BDT 500 consultation,"ICU, OPD, Emergency, Diagnostics",0
City General Hospital Dhaka #33,সিটি জেনারেল হাসপাতাল Dhaka #33,hospital,govt-hospital,Government hospital with general and emergency care.,সাধারণ ও জরুরি সেবাসহ সরকারি হাসপাতাল।,Uttara,Dhaka,Dhaka,"Uttara Road, Dhaka",01711004384,,3.7,,Free / Subsidized,"Emergency, OPD, Pathology",0
National Heart Foundation Chittagong #34,জাতীয় হৃদরোগ ফাউন্ডেশন Chittagong #34,hospital,private-hospital,Private specialized hospital with modern facilities.,আধুনিক সুবিধাসহ বেসরকারি বিশেষায়িত হাসপাতাল।,Gulshan,Chittagong,Chittagong,"Gulshan Road, Chittagong",01711004521,https://hospital34.com.bd,3.8,,BDT 500 consultation,"ICU, OPD, Emergency, Diagnostics",1
Popular Medical Center Rajshahi #35,পপুলার মেডিকেল সেন্টার Rajshahi #35,hospital,govt-hospital,Government hospital with general and emergency care.,সাধারণ ও জরুরি সেবাসহ সরকারি হাসপাতাল।,Mohammadpur,Rajshahi,Rajshahi,"Mohammadpur Road, Rajshahi",01711004658,,3.9,,Free / Subsidized,"Emergency, OPD, Pathology",0
Square Hospital Khulna #36,স্কয়ার হাসপাতাল Khulna #36,hospital,private-hospital,Private specialized hospital with modern facilities.,আধুনিক সুবিধাসহ বেসরকারি বিশেষায়িত হাসপাতাল।,Banani,Khulna,Khulna,"Banani Road, Khulna",01711004795,https://hospital36.com.bd,4.0,,BDT 500 consultation,"ICU, OPD, Emergency, Diagnostics",0
Ibn Sina Hospital Sylhet #37,ইবনে সিনা হাসপাতাল Sylhet #37,hospital,govt-hospital,Government hospital with general and emergency care.,সাধারণ ও জরুরি সেবাসহ সরকারি হাসপাতাল।,Agrabad,Sylhet,Sylhet,"Agrabad Road, Sylhet",01711004932,,4.1,,Free / Subsidized,"Emergency, OPD, Pathology",1
Labaid Specialized Hospital Barisal #38,ল্যাবএইড স্পেশালাইজড হাসপাতাল Barisal #38,hospital,private-hospital,Private specialized hospital with modern facilities.,আধুনিক সুবিধাসহ বেসরকারি বিশেষায়িত হাসপাতাল।,Zindabazar,Barisal,Barisal,"Zindabazar Road, Barisal",01711005069,https://hospital38.com.bd,4.2,,BDT 500 consultation,"ICU, OPD, Emergency, Diagnostics",0
United Hospital Rangpur #39,ইউনাইটেড হাসপাতাল Rangpur #39,hospital,govt-hospital,Government hospital with general and emergency care.,সাধারণ ও জরুরি সেবাসহ সরকারি হাসপাতাল।,Sadar,Rangpur,Rangpur,"Sadar Road, Rangpur",01711005206,,4.3,,Free / Subsidized,"Emergency, OPD, Pathology",0
Apollo Hospital Mymensingh #40,অ্যাপোলো হাসপাতাল Mymensingh #40,hospital,private-hospital,Private specialized hospital with modern facilities.,আধুনিক সুবিধাসহ বেসরকারি বিশেষায়িত হাসপাতাল।,Kotwali,Mymensingh,Mymensingh,"Kotwali Road, Mymensingh",01711005343,https://hospital40.com.bd,4.4,,BDT 500 consultation,"ICU, OPD, Emergency, Diagnostics",1
City General Hospital Dhaka #41,সিটি জেনারেল হাসপাতাল Dhaka #41,hospital,govt-hospital,Government hospital with general and emergency care.,সাধারণ ও জরুরি সেবাসহ সরকারি হাসপাতাল।,Mirpur,Dhaka,Dhaka,"Mirpur Road, Dhaka",01711005480,,4.5,,Free / Subsidized,"Emergency, OPD, Pathology",0
National Heart Foundation Chittagong #42,জাতীয় হৃদরোগ ফাউন্ডেশন Chittagong #42,hospital,private-hospital,Private specialized hospital with modern facilities.,আধুনিক সুবিধাসহ বেসরকারি বিশেষায়িত হাসপাতাল।,Dhanmondi,Chittagong,Chittagong,"Dhanmondi Road, Chittagong",01711005617,https://hospital42.com.bd,4.6,,BDT 500 consultation,"ICU, OPD, Emergency, Diagnostics",0
Popular Medical Center Rajshahi #43,পপুলার মেডিকেল সেন্টার Rajshahi #43,hospital,govt-hospital,Government hospital with general and emergency care.,সাধারণ ও জরুরি সেবাসহ সরকারি হাসপাতাল।,Uttara,Rajshahi,Rajshahi,"Uttara Road, Rajshahi",01711005754,,4.7,,Free / Subsidized,"Emergency, OPD, Pathology",1
Square Hospital Khulna #44,স্কয়ার হাসপাতাল Khulna #44,hospital,private-hospital,Private specialized hospital with modern facilities.,আধুনিক সুবিধাসহ বেসরকারি বিশেষায়িত হাসপাতাল।,Gulshan,Khulna,Khulna,"Gulshan Road, Khulna",01711005891,https://hospital44.com.bd,4.8,,BDT 500 consultation,"ICU, OPD, Emergency, Diagnostics",0
Ibn Sina Hospital Sylhet #45,ইবনে সিনা হাসপাতাল Sylhet #45,hospital,govt-hospital,Government hospital with general and emergency care.,সাধারণ ও জরুরি সেবাসহ সরকারি হাসপাতাল।,Mohammadpur,Sylhet,Sylhet,"Mohammadpur Road, Sylhet",01711006028,,4.9,,Free / Subsidized,"Emergency, OPD, Pathology",0
Labaid Specialized Hospital Barisal #46,ল্যাবএইড স্পেশালাইজড হাসপাতাল Barisal #46,hospital,private-hospital,Private specialized hospital with modern facilities.,আধুনিক সুবিধাসহ বেসরকারি বিশেষায়িত হাসপাতাল।,Banani,Barisal,Barisal,"Banani Road, Barisal",01711006165,https://hospital46.com.bd,3.5,,BDT 500 consultation,"ICU, OPD, Emergency, Diagnostics",1
United Hospital Rangpur #47,ইউনাইটেড হাসপাতাল Rangpur #47,hospital,govt-hospital,Government hospital with general and emergency care.,সাধারণ ও জরুরি সেবাসহ সরকারি হাসপাতাল।,Agrabad,Rangpur,Rangpur,"Agrabad Road, Rangpur",01711006302,,3.6,,Free / Subsidized,"Emergency, OPD, Pathology",0
Apollo Hospital Mymensingh #48,অ্যাপোলো হাসপাতাল Mymensingh #48,hospital,private-hospital,Private specialized hospital with modern facilities.,আধুনিক সুবিধাসহ বেসরকারি বিশেষায়িত হাসপাতাল।,Zindabazar,Mymensingh,Mymensingh,"Zindabazar Road, Mymensingh",01711006439,https://hospital48.com.bd,3.7,,BDT 500 consultation,"ICU, OPD, Emergency, Diagnostics",0
City General Hospital Dhaka #49,সিটি জেনারেল হাসপাতাল Dhaka #49,hospital,govt-hospital,Government hospital with general and emergency care.,সাধারণ ও জরুরি সেবাসহ সরকারি হাসপাতাল।,Sadar,Dhaka,Dhaka,"Sadar Road, Dhaka",01711006576,,3.8,,Free / Subsidized,"Emergency, OPD, Pathology",1
National Heart Foundation Chittagong #50,জাতীয় হৃদরোগ ফাউন্ডেশন Chittagong #50,hospital,private-hospital,Private specialized hospital with modern facilities.,আধুনিক সুবিধাসহ বেসরকারি বিশেষায়িত হাসপাতাল।,Kotwali,Chittagong,Chittagong,"Kotwali Road, Chittagong",01711006713,https://hospital50.com.bd,3.9,,BDT 500 consultation,"ICU, OPD, Emergency, Diagnostics",0
