name,name_bn,category,subtype,description,description_bn,area,district,division,address,phone,website,rating,badge_key,price_info,features,is_verified
Social Safety Scheme Office Dhaka #17,সামাজিক নিরাপত্তা কর্মসূচি অফিস Dhaka #17,government,schemes,Official social safety scheme office for Dhaka district citizens.,Dhaka জেলার নাগরিকদের জন্য সরকারি সামাজিক নিরাপত্তা কর্মসূচি অফিস।,Agrabad,Dhaka,Dhaka,"Government Complex, Dhaka",16100,https://services.gov.bd,3.1,,Free,,1
Passport Office Chittagong #18,পাসপোর্ট অফিস Chittagong #18,government,passport,Official passport office for Chittagong district citizens.,Chittagong জেলার নাগরিকদের জন্য সরকারি পাসপোর্ট অফিস।,Zindabazar,Chittagong,Chittagong,"Government Complex, Chittagong",01711010549,https://services.gov.bd,3.2,,Free,,1
Land Records Office Rajshahi #19,ভূমি রেকর্ড অফিস Rajshahi #19,government,land,Official land records office for Rajshahi district citizens.,Rajshahi জেলার নাগরিকদের জন্য সরকারি ভূমি রেকর্ড অফিস।,Sadar,Rajshahi,Rajshahi,"Government Complex, Rajshahi",01711010686,https://services.gov.bd,3.3,,Free,,1
Utility Service Office Khulna #20,ইউটিলিটি সেবা অফিস Khulna #20,government,utility,Official utility service office for Khulna district citizens.,Khulna জেলার নাগরিকদের জন্য সরকারি ইউটিলিটি সেবা অফিস।,Kotwali,Khulna,Khulna,"Government Complex, Khulna",01711010823,https://services.gov.bd,3.4,,Free,,1
NID Service Center Sylhet #21,এনআইডি সেবা কেন্দ্র Sylhet #21,government,nid,Official nid service center for Sylhet district citizens.,Sylhet জেলার নাগরিকদের জন্য সরকারি এনআইডি সেবা কেন্দ্র।,Mirpur,Sylhet,Sylhet,"Government Complex, Sylhet",16100,https://services.gov.bd,3.5,,Free,,1
Social Safety Scheme Office Barisal #22,সামাজিক নিরাপত্তা কর্মসূচি অফিস Barisal #22,government,schemes,Official social safety scheme office for Barisal district citizens.,Barisal জেলার নাগরিকদের জন্য সরকারি সামাজিক নিরাপত্তা কর্মসূচি অফিস।,Dhanmondi,Barisal,Barisal,"Government Complex, Barisal",01711011097,https://services.gov.bd,3.6,,Free,,1
Passport Office Rangpur #23,পাসপোর্ট অফিস Rangpur #23,government,passport,Official passport office for Rangpur district citizens.,Rangpur জেলার নাগরিকদের জন্য সরকারি পাসপোর্ট অফিস।,Uttara,Rangpur,Rangpur,"Government Complex, Rangpur",01711011234,https://services.gov.bd,3.7,,Free,,1
Land Records Office Mymensingh #24,ভূমি রেকর্ড অফিস Mymensingh #24,government,land,Official land records office for Mymensingh district citizens.,Mymensingh জেলার নাগরিকদের জন্য সরকারি ভূমি রেকর্ড অফিস।,Gulshan,Mymensingh,Mymensingh,"Government Complex, Mymensingh",01711011371,https://services.gov.bd,3.8,,Free,,1
Utility Service Office Dhaka #25,ইউটিলিটি সেবা অফিস Dhaka #25,government,utility,Official utility service office for Dhaka district citizens.,Dhaka জেলার নাগরিকদের জন্য সরকারি ইউটিলিটি সেবা অফিস।,Mohammadpur,Dhaka,Dhaka,"Government Complex, Dhaka",16100,https://services.gov.bd,3.9,,Free,,1
NID Service Center Chittagong #26,এনআইডি সেবা কেন্দ্র Chittagong #26,government,nid,Official nid service center for Chittagong district citizens.,Chittagong জেলার নাগরিকদের জন্য সরকারি এনআইডি সেবা কেন্দ্র।,Banani,Chittagong,Chittagong,"Government Complex, Chittagong",01711011645,https://services.gov.bd,4.0,,Free,,1
Social Safety Scheme Office Rajshahi #27,সামাজিক নিরাপত্তা কর্মসূচি অফিস Rajshahi #27,government,schemes,Official social safety scheme office for Rajshahi district citizens.,Rajshahi জেলার নাগরিকদের জন্য সরকারি সামাজিক নিরাপত্তা কর্মসূচি অফিস।,Agrabad,Rajshahi,Rajshahi,"Government Complex, Rajshahi",01711011782,https://services.gov.bd,4.1,,Free,,1
Passport Office Khulna #28,পাসপোর্ট অফিস Khulna #28,government,passport,Official passport office for Khulna district citizens.,Khulna জেলার নাগরিকদের জন্য সরকারি পাসপোর্ট অফিস।,Zindabazar,Khulna,Khulna,"Government Complex, Khulna",01711011919,https://services.gov.bd,4.2,,Free,,1
Land Records Office Sylhet #29,ভূমি রেকর্ড অফিস Sylhet #29,government,land,Official land records office for Sylhet district citizens.,Sylhet জেলার নাগরিকদের জন্য সরকারি ভূমি রেকর্ড অফিস।,Sadar,Sylhet,Sylhet,"Government Complex, Sylhet",16100,https://services.gov.bd,4.3,,Free,,1
Utility Service Office Barisal #30,ইউটিলিটি সেবা অফিস Barisal #30,government,utility,Official utility service office for Barisal district citizens.,Barisal জেলার নাগরিকদের জন্য সরকারি ইউটিলিটি সেবা অফিস।,Kotwali,Barisal,Barisal,"Government Complex, Barisal",01711012193,https://services.gov.bd,4.4,,Free,,1
NID Service Center Rangpur #31,এনআইডি সেবা কেন্দ্র Rangpur #31,government,nid,Official nid service center for Rangpur district citizens.,Rangpur জেলার নাগরিকদের জন্য সরকারি এনআইডি সেবা কেন্দ্র।,Mirpur,Rangpur,Rangpur,"Government Complex, Rangpur",01711012330,https://services.gov.bd,3.0,,Free,,1
Social Safety Scheme Office Mymensingh #32,সামাজিক নিরাপত্তা কর্মসূচি অফিস Mymensingh #32,government,schemes,Official social safety scheme office for Mymensingh district citizens.,Mymensingh জেলার নাগরিকদের জন্য সরকারি সামাজিক নিরাপত্তা কর্মসূচি অফিস।,Dhanmondi,Mymensingh,Mymensingh,"Government Complex, Mymensingh",01711012467,https://services.gov.bd,3.1,,Free,,1
Passport Office Dhaka #33,পাসপোর্ট অফিস Dhaka #33,government,passport,Official passport office for Dhaka district citizens.,Dhaka জেলার নাগরিকদের জন্য সরকারি পাসপোর্ট অফিস।,Uttara,Dhaka,Dhaka,"Government Complex, Dhaka",16100,https://services.gov.bd,3.2,,Free,,1
Land Records Office Chittagong #34,ভূমি রেকর্ড অফিস Chittagong #34,government,land,Official land records office for Chittagong district citizens.,Chittagong জেলার নাগরিকদের জন্য সরকারি ভূমি রেকর্ড অফিস।,Gulshan,Chittagong,Chittagong,"Government Complex, Chittagong",01711012741,https://services.gov.bd,3.3,,Free,,1
Utility Service Office Rajshahi #35,ইউটিলিটি সেবা অফিস Rajshahi #35,government,utility,Official utility service office for Rajshahi district citizens.,Rajshahi জেলার নাগরিকদের জন্য সরকারি ইউটিলিটি সেবা অফিস।,Mohammadpur,Rajshahi,Rajshahi,"Government Complex, Rajshahi",01711012878,https://services.gov.bd,3.4,,Free,,1
NID Service Center Khulna #36,এনআইডি সেবা কেন্দ্র Khulna #36,government,nid,Official nid service center for Khulna district citizens.,Khulna জেলার নাগরিকদের জন্য সরকারি এনআইডি সেবা কেন্দ্র।,Banani,Khulna,Khulna,"Government Complex, Khulna",01711013015,https://services.gov.bd,3.5,,Free,,1
Social Safety Scheme Office Sylhet #37,সামাজিক নিরাপত্তা কর্মসূচি অফিস Sylhet #37,government,schemes,Official social safety scheme office for Sylhet district citizens.,Sylhet জেলার নাগরিকদের জন্য সরকারি সামাজিক নিরাপত্তা কর্মসূচি অফিস।,Agrabad,Sylhet,Sylhet,"Government Complex, Sylhet",16100,https://services.gov.bd,3.6,,Free,,1
Passport Office Barisal #38,পাসপোর্ট অফিস Barisal #38,government,passport,Official passport office for Barisal district citizens.,Barisal জেলার নাগরিকদের জন্য সরকারি পাসপোর্ট অফিস।,Zindabazar,Barisal,Barisal,"Government Complex, Barisal",01711013289,https://services.gov.bd,3.7,,Free,,1
Land Records Office Rangpur #39,ভূমি রেকর্ড অফিস Rangpur #39,government,land,Official land records office for Rangpur district citizens.,Rangpur জেলার নাগরিকদের জন্য সরকারি ভূমি রেকর্ড অফিস।,Sadar,Rangpur,Rangpur,"Government Complex, Rangpur",01711013426,https://services.gov.bd,3.8,,Free,,1
Utility Service Office Mymensingh #40,ইউটিলিটি সেবা অফিস Mymensingh #40,government,utility,Official utility service office for Mymensingh district citizens.,Mymensingh জেলার নাগরিকদের জন্য সরকারি ইউটিলিটি সেবা অফিস।,Kotwali,Mymensingh,Mymensingh,"Government Complex, Mymensingh",01711013563,https://services.gov.bd,3.9,,Free,,1
NID Service Center Dhaka #41,এনআইডি সেবা কেন্দ্র Dhaka #41,government,nid,Official nid service center for Dhaka district citizens.,Dhaka জেলার নাগরিকদের জন্য সরকারি এনআইডি সেবা কেন্দ্র।,Mirpur,Dhaka,Dhaka,"Government Complex, Dhaka",16100,https://services.gov.bd,4.0,,Free,,1
Social Safety Scheme Office Chittagong #42,সামাজিক নিরাপত্তা কর্মসূচি অফিস Chittagong #42,government,schemes,Official social safety scheme office for Chittagong district citizens.,Chittagong জেলার নাগরিকদের জন্য সরকারি সামাজিক নিরাপত্তা কর্মসূচি অফিস।,Dhanmondi,Chittagong,Chittagong,"Government Complex, Chittagong",01711013837,https://services.gov.bd,4.1,,Free,,1
Passport Office Rajshahi #43,পাসপোর্ট অফিস Rajshahi #43,government,passport,Official passport office for Rajshahi district citizens.,Rajshahi জেলার নাগরিকদের জন্য সরকারি পাসপোর্ট অফিস।,Uttara,Rajshahi,Rajshahi,"Government Complex, Rajshahi",01711013974,https://services.gov.bd,4.2,,Free,,1
Land Records Office Khulna #44,ভূমি রেকর্ড অফিস Khulna #44,government,land,Official land records office for Khulna district citizens.,Khulna জেলার নাগরিকদের জন্য সরকারি ভূমি রেকর্ড অফিস।,Gulshan,Khulna,Khulna,"Government Complex, Khulna",01711014111,https://services.gov.bd,4.3,,Free,,1
Utility Service Office Sylhet #45,ইউটিলিটি সেবা অফিস Sylhet #45,government,utility,Official utility service office for Sylhet district citizens.,Sylhet জেলার নাগরিকদের জন্য সরকারি ইউটিলিটি সেবা অফিস।,Mohammadpur,Sylhet,Sylhet,"Government Complex, Sylhet",16100,https://services.gov.bd,4.4,,Free,,1
NID Service Center Barisal #46,এনআইডি সেবা কেন্দ্র Barisal #46,government,nid,Official nid service center for Barisal district citizens.,Barisal জেলার নাগরিকদের জন্য সরকারি এনআইডি সেবা কেন্দ্র।,Banani,Barisal,Barisal,"Government Complex, Barisal",01711014385,https://services.gov.bd,3.0,,Free,,1
Social Safety Scheme Office Rangpur #47,সামাজিক নিরাপত্তা কর্মসূচি অফিস Rangpur #47,government,schemes,Official social safety scheme office for Rangpur district citizens.,Rangpur জেলার নাগরিকদের জন্য সরকারি সামাজিক নিরাপত্তা কর্মসূচি অফিস।,Agrabad,Rangpur,Rangpur,"Government Complex, Rangpur",01711014522,https://services.gov.bd,3.1,,Free,,1
Passport Office Mymensingh #48,পাসপোর্ট অফিস Mymensingh #48,government,passport,Official passport office for Mymensingh district citizens.,Mymensingh জেলার নাগরিকদের জন্য সরকারি পাসপোর্ট অফিস।,Zindabazar,Mymensingh,Mymensingh,"Government Complex, Mymensingh",01711014659,https://services.gov.bd,3.2,,Free,,1
Land Records Office Dhaka #49,ভূমি রেকর্ড অফিস Dhaka #49,government,land,Official land records office for Dhaka district citizens.,Dhaka জেলার নাগরিকদের জন্য সরকারি ভূমি রেকর্ড অফিস।,Sadar,Dhaka,Dhaka,"Government Complex, Dhaka",16100,https://services.gov.bd,3.3,,Free,,1
Utility Service Office Chittagong #50,ইউটিলিটি সেবা অফিস Chittagong #50,government,utility,Official utility service office for Chittagong district citizens.,Chittagong জেলার নাগরিকদের জন্য সরকারি ইউটিলিটি সেবা অফিস।,Kotwali,Chittagong,Chittagong,"Government Complex, Chittagong",01711014933,https://services.gov.bd,3.4,,Free,,1
