name,name_bn,type,district,division,address,address_bn,phone,website,description,description_bn,is_verified,is_active
Comilla High School 18,Comilla উচ্চ বিদ্যালয়,university,Comilla,Chittagong,"Agrabad Road, Comilla","আগ্রাবাদ সড়ক, Comilla",01711002329,https://edu18.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,1,1
Natore Polytechnic 19,Natore পলিটেকনিক,school,Natore,Rajshahi,"Motijheel Road, Natore","মতিঝিল সড়ক, Natore",01711002466,https://edu19.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,1,1
Bagerhat Model School 20,Bagerhat মডেল স্কুল,college,Bagerhat,Khulna,"Badda Road, Bagerhat","বাড্ডা সড়ক, Bagerhat",01711002603,https://edu20.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,1,1
Sylhet University 21,Sylhet বিশ্ববিদ্যালয়,university,Sylhet,Sylhet,"Mirpur Road, Sylhet","মিরপুর সড়ক, Sylhet",01711002740,https://edu21.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,0,1
Bhola College 22,Bhola কলেজ,school,Bhola,Barisal,"Uttara Road, Bhola","উত্তরা সড়ক, Bhola",01711002877,https://edu22.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,1,1
Kurigram High School 23,Kurigram উচ্চ বিদ্যালয়,college,Kurigram,Rangpur,"Dhanmondi Road, Kurigram","ধানমন্ডি সড়ক, Kurigram",01711003014,https://edu23.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,1,1
Sherpur Polytechnic 24,Sherpur পলিটেকনিক,university,Sherpur,Mymensingh,"Gulshan Road, Sherpur","গুলশান সড়ক, Sherpur",01711003151,https://edu24.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,1,1
Manikganj Model School 25,Manikganj মডেল স্কুল,school,Manikganj,Dhaka,"Banani Road, Manikganj","বনানী সড়ক, Manikganj",01711003288,https://edu25.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,0,1
Chittagong University 26,Chittagong বিশ্ববিদ্যালয়,college,Chittagong,Chittagong,"Mohakhali Road, Chittagong","মহাখালী সড়ক, Chittagong",01711003425,https://edu26.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,1,1
Bogura College 27,Bogura কলেজ,university,Bogura,Rajshahi,"Shahbag Road, Bogura","শাহবাগ সড়ক, Bogura",01711003562,https://edu27.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,1,1
Satkhira High School 28,Satkhira উচ্চ বিদ্যালয়,school,Satkhira,Khulna,"Agrabad Road, Satkhira","আগ্রাবাদ সড়ক, Satkhira",01711003699,https://edu28.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,1,1
Sunamganj Polytechnic 29,Sunamganj পলিটেকনিক,college,Sunamganj,Sylhet,"Motijheel Road, Sunamganj","মতিঝিল সড়ক, Sunamganj",01711003836,https://edu29.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,0,1
Jhalokati Model School 30,Jhalokati মডেল স্কুল,university,Jhalokati,Barisal,"Badda Road, Jhalokati","বাড্ডা সড়ক, Jhalokati",01711003973,https://edu30.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,1,1
Rangpur University 31,Rangpur বিশ্ববিদ্যালয়,school,Rangpur,Rangpur,"Mirpur Road, Rangpur","মিরপুর সড়ক, Rangpur",01711004110,https://edu31.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,1,1
Jamalpur College 32,Jamalpur কলেজ,college,Jamalpur,Mymensingh,"Uttara Road, Jamalpur","উত্তরা সড়ক, Jamalpur",01711004247,https://edu32.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,1,1
Narayanganj High School 33,Narayanganj উচ্চ বিদ্যালয়,university,Narayanganj,Dhaka,"Dhanmondi Road, Narayanganj","ধানমন্ডি সড়ক, Narayanganj",01711004384,https://edu33.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,0,1
Feni Polytechnic 34,Feni পলিটেকনিক,school,Feni,Chittagong,"Gulshan Road, Feni","গুলশান সড়ক, Feni",01711004521,https://edu34.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,1,1
Naogaon Model School 35,Naogaon মডেল স্কুল,college,Naogaon,Rajshahi,"Banani Road, Naogaon","বনানী সড়ক, Naogaon",01711004658,https://edu35.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,1,1
Khulna University 36,Khulna বিশ্ববিদ্যালয়,university,Khulna,Khulna,"Mohakhali Road, Khulna","মহাখালী সড়ক, Khulna",01711004795,https://edu36.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,1,1
Moulvibazar College 37,Moulvibazar কলেজ,school,Moulvibazar,Sylhet,"Shahbag Road, Moulvibazar","শাহবাগ সড়ক, Moulvibazar",01711004932,https://edu37.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,0,1
Patuakhali High School 38,Patuakhali উচ্চ বিদ্যালয়,college,Patuakhali,Barisal,"Agrabad Road, Patuakhali","আগ্রাবাদ সড়ক, Patuakhali",01711005069,https://edu38.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,1,1
Gaibandha Polytechnic 39,Gaibandha পলিটেকনিক,university,Gaibandha,Rangpur,"Motijheel Road, Gaibandha","মতিঝিল সড়ক, Gaibandha",01711005206,https://edu39.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,1,1
Trishal Model School 40,Trishal মডেল স্কুল,school,Trishal,Mymensingh,"Badda Road, Trishal","বাড্ডা সড়ক, Trishal",01711005343,https://edu40.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,1,1
Dhaka University 41,Dhaka বিশ্ববিদ্যালয়,college,Dhaka,Dhaka,"Mirpur Road, Dhaka","মিরপুর সড়ক, Dhaka",01711005480,https://edu41.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,0,1
Coxs Bazar College 42,Coxs Bazar কলেজ,university,Coxs Bazar,Chittagong,"Uttara Road, Coxs Bazar","উত্তরা সড়ক, Coxs Bazar",01711005617,https://edu42.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,1,1
Pabna High School 43,Pabna উচ্চ বিদ্যালয়,school,Pabna,Rajshahi,"Dhanmondi Road, Pabna","ধানমন্ডি সড়ক, Pabna",01711005754,https://edu43.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,1,1
Kushtia Polytechnic 44,Kushtia পলিটেকনিক,college,Kushtia,Khulna,"Gulshan Road, Kushtia","গুলশান সড়ক, Kushtia",01711005891,https://edu44.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,1,1
Sylhet Sadar Model School 45,Sylhet Sadar মডেল স্কুল,university,Sylhet Sadar,Sylhet,"Banani Road, Sylhet Sadar","বনানী সড়ক, Sylhet Sadar",01711006028,https://edu45.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,0,1
Barisal University 46,Barisal বিশ্ববিদ্যালয়,school,Barisal,Barisal,"Mohakhali Road, Barisal","মহাখালী সড়ক, Barisal",01711006165,https://edu46.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,1,1
Dinajpur College 47,Dinajpur কলেজ,college,Dinajpur,Rangpur,"Shahbag Road, Dinajpur","শাহবাগ সড়ক, Dinajpur",01711006302,https://edu47.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,1,1
Netrokona High School 48,Netrokona উচ্চ বিদ্যালয়,university,Netrokona,Mymensingh,"Agrabad Road, Netrokona","আগ্রাবাদ সড়ক, Netrokona",01711006439,https://edu48.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,1,1
Tangail Polytechnic 49,Tangail পলিটেকনিক,school,Tangail,Dhaka,"Motijheel Road, Tangail","মতিঝিল সড়ক, Tangail",01711006576,https://edu49.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,0,1
Rangamati Model School 50,Rangamati মডেল স্কুল,college,Rangamati,Chittagong,"Badda Road, Rangamati","বাড্ডা সড়ক, Rangamati",01711006713,https://edu50.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,1,1
